name,Country,Region,Cov1,Cov2,Latitude,Longitude,collection_year
Ait14,MA,HA,35.22,40.95,31.2366,-7.81285,-
Ait9,MA,HA,20.88,24.35,31.2366,-7.81285,-
Arb0,MA,HA,31.24,36.2,31.41988,-7.5262,-
Arb2,MA,HA,28.17,32.87,31.41988,-7.5262,-
Elh10,MA,HA,28.57,33.2,31.47197,-7.40644,-
Elh15,MA,HA,25.41,29.64,31.47197,-7.40644,-
Elh20,MA,HA,24.1,28.07,31.47197,-7.40644,-
Elh23,MA,HA,32.01,36.92,31.47197,-7.40644,-
Elh2,MA,HA,27.08,31.63,31.47197,-7.40644,-
Elh27,MA,HA,22.93,26.5,31.47197,-7.40644,-
Elh33,MA,HA,30.04,34.85,31.47197,-7.40644,-
Elh39,MA,HA,26.52,30.96,31.47197,-7.40644,-
Elh46,MA,HA,37.24,43.19,31.47197,-7.40644,-
Elh52,MA,HA,27.8,32.3,31.47197,-7.40644,-
Set0,MA,HA,33.86,39.03,31.22656,-7.67361,-
Set6,MA,HA,28.76,33.47,31.22656,-7.67361,-
Bba0,MA,NMA,18.63,22.09,35.04256,-5.02369,-
Bba1,MA,NMA,24.8,29.38,34.01934,-4.0839,-
Bba2,MA,NMA,25.79,30.46,34.01934,-4.0839,-
Meh0,MA,NMA,25.86,30.3,33.9561,-4.05153,-
Meh4,MA,NMA,22.98,26.91,33.9561,-4.05153,-
Meh7,MA,NMA,23.22,27.43,33.9561,-4.05153,-
Tah0,MA,NMA,27.68,32.49,34.05293,-4.22245,-
Tah4,MA,NMA,25.69,30.28,34.05293,-4.22245,-
Taz0,MA,NMA,22.66,26.72,34.09166,-4.10258,-
Taz11,MA,NMA,31.06,36.59,34.09166,-4.10258,-
Taz16,MA,NMA,23.01,30.67,34.09166,-4.10258,-
Taz18,MA,NMA,28.21,33.27,34.09166,-4.10258,-
Tiz0,MA,NMA,26.75,31.45,33.8723,-4.02647,-
Tiz7,MA,NMA,28.44,33.54,33.8723,-4.02647,-
Bab0,MA,Rif,21.78,25.68,35.04256,-5.02369,-
Bab3,MA,Rif,32.95,38.84,35.04256,-5.02369,-
Bbe0,MA,Rif,32.91,38.66,34.99519,-4.83141,-
Ket10 (1),MA,Rif,23.16,27.35,34.96076,-4.66611,-
Ket10 (2),MA,Rif,27.79,32.88,34.96076,-4.66611,-
Ket12,MA,Rif,15.81,18.93,34.96076,-4.66611,-
Zin4,MA,Rif,24.71,28.99,35.4528,-5.42698,-
Zin9,MA,Rif,22.37,26.16,35.4528,-5.42698,-
Agl0,MA,SMA,25.22,29.51,32.97243,-5.44856,-
Agl1,MA,SMA,28.35,33.21,32.97243,-5.44856,-
Agl2,MA,SMA,25.29,29.71,32.97243,-5.44856,-
Agl3,MA,SMA,26.47,31.02,32.97243,-5.44856,-
Agl5,MA,SMA,29.47,34.55,32.97243,-5.44856,-
Agl9,MA,SMA,26.49,31.09,32.97243,-5.44856,-
Azr0,MA,SMA,20.52,24,33.42357,-5.17911,-
Azr11,MA,SMA,28.07,32.73,33.42357,-5.17911,-
Azr13,MA,SMA,28.08,32.97,33.42357,-5.17911,-
Azr16,MA,SMA,24.69,28.89,33.42357,-5.17911,-
Azr5,MA,SMA,26.76,31.22,33.42357,-5.17911,-
Azr7,MA,SMA,29.05,33.92,33.42357,-5.17911,-
Elk1,MA,SMA,29.2,34.13,32.53516,-6.014969,-
Elk20,MA,SMA,15.12,17.99,32.53516,-6.014969,-
Elk28,MA,SMA,30.51,35.78,32.53516,-6.014969,-
Elk3,MA,SMA,15.43,18.31,32.53516,-6.014969,-
Elk5,MA,SMA,19.74,23.3,32.53516,-6.014969,-
IFr0,MA,SMA,27.43,32.01,33.55006,-5.17465,-
Ifr3,MA,SMA,28.39,33.25,33.55006,-5.17465,-
Ifr4,MA,SMA,25.07,29.52,33.55006,-5.17465,-
Ifr6,MA,SMA,29.23,34.36,33.55006,-5.17465,-
Khe0,MA,SMA,24.42,28.54,32.92735,-5.51027,-
Khe32,MA,SMA,26.39,30.93,32.92735,-5.51027,-
Oua0,MA,SMA,23.23,27.05,32.07853,-6.275309,-
Til2,MA,SMA,34.7,40.53,32.04208,-6.22955,-
Toufl-1,MA,MA,24.36,28.3,31.47,-7.42,-
Aitba,MA,MA,37.46,43.14,31.48,-7.45,-
Ita-0,MA,MA,22.86,27.21,34.0787,-4.19891,-
Tanz-1,TZ,TZ,25.92,30.93,-2.8739,36.12,-
Tanz-2,TZ,TZ,34.78,41.21,-2.8739,36.12,-
SA-h1,ZA,ZA,7.76,10.43,-34.125,19.375,1830
SA-h2,ZA,ZA,9.04,11.83,-34.125,19.375,1830
SA-h3,ZA,ZA,8.28,10.96,-34.125,19.375,1830
SA-h4,ZA,ZA,7.28,9.7,33.399,19.282,1896
SA-h5,ZA,ZA,6.7,9.24,-34.125,19.375,1830
Tanz-h1,TZ,TZ-Kilamanjaro,8.9,11.78,-3.021568,37.159565,1929
Tanz-h2,TZ,TZ-Mt. Meru,9.09,12.07,-3.23333,36.71667,1985
Tanz-h3,TZ,TZ-Mt. Meru,5.41,7.89,-3.23333,36.71667,1985
Alg-h1,DZ,DZ,4.54,6.78,-,-,1837
Platres,CY,CY,26.21,30.31,34.8833,32.8666,-
Ma0 (1),DE,DE,36.9,41.64,50.8167,8.7667,-
Ma0 (2),DE,DE,42.91,48.32,50.8167,8.7667,-
Ma0 (3),DE,DE,31.79,35.96,50.8167,8.7667,-
Ma0 (4),DE,DE,41.32,46.57,50.8167,8.7667,-
