"species"	"Acronym"	"Country"	"Latitude"	"Longitude"	"Altitude"	"Collectors"	"Date"	"Substrate"
"A. lyrata"	"BAD"	"Austria"	47.979	16.1644	492	"A. Guggisberg, R. Schmickl, G. Muir"	"2012-04-18"	"calcareous"
"A. lyrata"	"PER"	"Austria"	47.9181166	15.9741833	626	"A. Guggisberg, R. Schmickl, G. Muir"	"2012-04-18"	"calcareous"
"A. lyrata"	"PLE"	"Germany"	49.627166	11.5111	484	"A. Guggisberg, R. Schmickl, G. Muir"	"2012-04-23"	"calcareous"
"A. lyrata"	"POT"	"Germany"	49.7543166	11.420633	417	"A. Guggisberg, R. Schmickl, G. Muir"	"2012-04-23"	"calcareous"
"A. lyrata"	"MAL"	"Czech Republic"	50.0664833	14.075466	374	"A. Guggisberg, R. Schmickl, G. Muir"	"2012-04-22"	"siliceous"
"A. lyrata"	"OSL"	"Czech Republic"	49.117533	16.305933	243	"A. Guggisberg, R. Schmickl, G. Muir"	"2012-04-21"	"siliceous"
"A. lyrata"	"STR"	"Czech Republic"	49.73755	12.9979833	316	"A. Guggisberg, R. Schmickl, G. Muir"	"2012-04-22"	"siliceous"
"A. arenosa"	"CIE"	"Slovakia"	49.01997	19.90734	1152	"A. Guggisberg, G. Mansion, L. Paule"	"2012-06-27"	"calcareous"
"A. arenosa"	"HAR"	"Slovakia"	48.82245	19.02418	695	"A. Guggisberg, G. Mansion"	"2012-06-26"	"calcareous"
"A. arenosa"	"PUS"	"Slovakia"	48.88552	20.23937	917	"A. Guggisberg, G. Mansion, L. Paule"	"2012-06-27"	"calcareous"
"A. arenosa"	"DHL"	"Slovakia"	49.1647	20.14589	1942	"A. Guggisberg, G. Mansion, Z. Kyselova"	"2012-06-29"	"siliceous"
"A. arenosa"	"HLI"	"Slovakia"	49.17777	20.0369	1807	"A. Guggisberg, G. Mansion, Z. Kyselova"	"2012-06-30"	"siliceous"
"A. arenosa"	"VEL"	"Slovakia"	49.1762	20.16093	1976	"A. Guggisberg, G. Mansion"	"2012-07-01"	"siliceous"
"A. arenosa"	"ZEL"	"Slovakia"	49.20653	20.21506	1625	"F. Kolář, E. Záveská, S. Španiel, M. Kolník, K. Marhold"	"2012-08-01"	"siliceous"
