"",,,,,,Total concentration in,Extractable concentration,Concentration in
Population Short Soil,GPS,,Population,,Individual,soil (mg kg-1),in soil (mg kg-1)a,leaves (mg kg-1)
name name type,coordinates,,size,,Id.,,,
"",,,,,,Cd Zn,Cd Zn,Cd Zn
"",,,,,Noss_05,"980 130,000","460 45,000","290 11,000"
Ponte Nossa 500-5000 (Italy) N45°51'33.5''  Noss M  1,E09°52'36.1'',,,,,,,
"",,,,,Noss_10,"880 150,000","70 28,000","110 25,000"
Paisco,,,,,Pais_05,1.4 110,0 20,"5.6 4,000"
N46°03'20.0''  Loveno 500-5000 E10°14'34.7'' (Italy) Pais NM  2,,,,,Pais_09,1.5 180,0 60,"4.5 33,000"
"",,,,,Wall_07,2.0 160,0 10,"27 12,000"
Wallenfels 50-500 (Germany) N50°24'40.9''  Wall NM,E11°33'19.1'',,,,,,,
"",,,,,Wall_10,1.9 140,1 30,"37 5,500"
