sample_name	species	country	location	latitude	longitude	biosample	ploidy
ALK	Arabidopsis kamchatica subsp. kamchatica	USA	Alaska, Richardson Highway, South of Darling Creek bridge	63.4N	145.8W	SAMD00089941	allotetraploid
DEN	Arabidopsis kamchatica subsp. kamchatica	Russia	Kamchatskii krai, near the river Denokhonok	54.2N	158.1E	SAMD00089945	allotetraploid
FKS	Arabidopsis kamchatica subsp. kamchatica	Japan	Fukushima	37.2N	139.9E	SAMD00089940	allotetraploid
HKB	Arabidopsis kamchatica subsp. kamchatica	Japan	Hakubayari	36.7N	137.8E	SAMD00089930	allotetraploid
HMK	Arabidopsis kamchatica subsp. kawasakiana	Japan	Toyama	36.7N	137.3E	SAMD00089926	allotetraploid
HUK	Arabidopsis kamchatica subsp. kawasakiana	Japan	Hukiinoura	34.6N	136.6E	SAMD00089924	allotetraploid
IWH	Arabidopsis kamchatica subsp. kamchatica	Japan	Iwahana	35.9N	137.8E	SAMD00089935	allotetraploid
KNS	Arabidopsis kamchatica subsp. kamchatica	Japan	Kinasa	36.7N	138.0E	SAMD00089928	allotetraploid
KSO	Arabidopsis kamchatica subsp. kamchatica	Japan	Kisokomagatake	35.8N	137.8E	SAMD00089929	allotetraploid
KWS	Arabidopsis kamchatica subsp. kawasakiana	Japan	Takashima	35.4N	136.0E	SAMD00045705	allotetraploid
MAG	Arabidopsis kamchatica subsp. kamchatica	Japan	Magosazima	35.3N	138.3E	SAMD00089925	allotetraploid
MAI	Arabidopsis kamchatica subsp. kawasakiana	Japan	Maiamihama	35.1N	136.0E	SAMD00089927	allotetraploid
MUR	Arabidopsis kamchatica subsp. kamchatica	Japan	Murodo	36.2N	137.4E	SAMD00089932	allotetraploid
OKH1	Arabidopsis kamchatica subsp. kamchatica	Russia	Khabarovsk krai, Okhotskii raion, foothills of Mt. Lanzhinskie gory	59.4N	143.3E	SAMD00089938	allotetraploid
OKH2	Arabidopsis kamchatica subsp. kamchatica	Russia	Khabarovsk krai, Okhotskii raion, foothills of Mt. Lanzhinskie gory	59.4N	143.3E	SAMD00089939	allotetraploid
PAK	Arabidopsis kamchatica subsp. kamchatica	USA	Alaska, Potter	61.2N	149.3W	SAMD00089933	allotetraploid
SAK	Arabidopsis kamchatica subsp. kamchatica	Russia	Sakhalin, Marakovskii raion, Zaozernoye	48.4N	142.7E	SAMD00089937	allotetraploid
SHI	Arabidopsis kamchatica subsp. kamchatica	Japan	Shirakawa	36.3N	136.9E	SAMD00089943	allotetraploid
SMS	Arabidopsis kamchatica subsp. kamchatica	Japan	Simasimadani	36.2N	137.8E	SAMD00089931	allotetraploid
SRM	Arabidopsis kamchatica subsp. kamchatica	Japan	Mt. Shirouma	36.8N	137.8E	SAMD00089923	allotetraploid
TGS	Arabidopsis kamchatica subsp. kamchatica	Japan	Mt. Shikokutsurugi	33.9N	134.1E	SAMD00089934	allotetraploid
TGZ	Arabidopsis kamchatica subsp. kamchatica	Japan	Tsurugigozen	36.6N	137.6E	SAMD00089936	allotetraploid
TWN	Arabidopsis kamchatica subsp. kamchatica	Taiwan	Taroko national park	24.0N	121.3E	SAMD00045707	allotetraploid
TYG	Arabidopsis kamchatica subsp. kamchatica	Japan	Tateyamagawa	36.6N	137.6E	SAMD00089944	allotetraploid
VAG	Arabidopsis kamchatica subsp. kamchatica	Russia	Kamchatskii krai, near the river Vaktan GanalÕskii	53.5N	157.6E	SAMD00089942	allotetraploid
